"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"METTL9|Q9H1A3",1.44815731268585,390616.238859649,10.4666792179314,3.62481382109134e-21,2.55862629902342e-19,37.2019804224987
"TXN2|Q99757",13.0814320145995,13371443.9736842,10.46242170018,3.73632928512337e-21,2.62116106597459e-19,37.1719442938064
"WDR87|Q6ZQQ6",-5.24622791843949,1480915.78066038,-10.5438308223022,3.83222647459066e-21,2.65584907496631e-19,37.1671856315091
"SMDT1|Q9H4I9",7.89849408412055,2544747.45789474,10.4592566226514,3.82143821345361e-21,2.65584907496631e-19,37.1496178985817
"NXPH1|P58417",1.04018956665516,435461.072122641,10.5321602085009,4.15646576258306e-21,2.86320397561068e-19,37.0969627495786
"CREB1|P16220",-3.7571889569696,1605785.53026316,-10.4416854577761,4.33024842707203e-21,2.96505333913585e-19,37.0257137982589
"ARHGAP31|Q2M1Z3",-0.765470954032746,223137.129175258,-10.6044582651986,5.50278568170486e-21,3.67978679943246e-19,36.8573049864711
"GAS8|O95995",14.8058462575291,1518502.368125,32.9316399482548,2.08040525590915e-25,3.13018869754226e-23,36.744864065151
"PABPC1L2A|Q5JQF8",-3.89303731479011,3150579.71929825,-10.3700719661406,7.20188329688972e-21,4.78799624999616e-19,36.521480050902
"TMEM127|O75204",-1.38949849966595,372933.187783019,-10.444075120615,7.66617323928162e-21,5.06720757174481e-19,36.4796906686602
"RECQL|P46063",-11.0213856118665,9978877.96052632,-10.3563987952729,7.93543211297562e-21,5.21503828803887e-19,36.4253455786575
"JMY|Q8N9B5",-11.4392090610924,7146566.07894737,-10.353105277191,8.1229630783762e-21,5.30777616007039e-19,36.4021959533511
"BICDL1|Q6ZP65",0.460776268229988,122303.2784375,13.6886207742394,1.78950167007534e-20,1.12235881917826e-18,36.2866935314478
"SRSF6|Q13247",-7.30442224653678,5634613.65789474,-10.3057895584829,1.13585613689913e-20,7.3381440256732e-19,36.0699108377398
"MCM3AP|O60318",-1.31004823787389,381762.519254386,-10.3017297867187,1.16897756073387e-20,7.50969573426508e-19,36.0414255624044
"SNCB|Q16143",93.764264592932,44326603.1140351,10.2963342316204,1.2144891000124e-20,7.75848204393396e-19,36.0035740415307
"ANKRD52|Q8NB46",0.722143519529669,234992.026666667,10.6856680071806,1.81186495577188e-20,1.12601498745932e-18,35.7810127038754
"PNPLA4|P41247",-0.82026864520023,322941.075131579,-10.2535147005623,1.6440926321762e-20,1.03868504137762e-18,35.7034354002241
"SCAF11|Q99590",0.32105583142268,91111.2866666667,11.0194912753192,2.27993654391729e-20,1.3941751005184e-18,35.6594561593516
"BNIP3|Q12983",-4.15988155065415,2200794.63640351,-10.2382901431753,1.83082588918831e-20,1.13164832664153e-18,35.5968299456864
"MANF|P55145",-13.6531202873728,9095183.90789474,-10.2241703998875,2.02281285259439e-20,1.24359489082886e-18,35.4980122621119
"CHFR|Q96EP1",1.3118290359706,246729.9128,15.6388968308806,1.40061833270757e-20,8.89781701917284e-19,35.4016738351241
"ULBP2|Q9BZM5",0.316014200914288,87957.5741666667,11.7107376600094,4.21170575432399e-20,2.52151074872748e-18,35.2410838247947
"TTBK2|Q6IQ55",2.62632749603457,1365751.11096491,10.1723193318193,2.91618491277204e-20,1.77375396157172e-18,35.1355598597966
"IGKV1-5|P01602",1.16983398317948,453215.254609375,10.9571797827091,4.68131321870859e-20,2.77361744331258e-18,34.9455903269417
"RAB34|Q9BZG1",-3.41731387084719,2391865.32894737,-10.139167506897,3.68327651346887e-20,2.21675089113245e-18,34.9041774711391
"RNF181|Q9P0P0",4.17124708610387,1322178.95350877,10.1147004440715,4.37531151988436e-20,2.60581704322279e-18,34.7335909139199
"NIN|Q8N4C6",-0.388060815499116,137350.614150943,-10.5221050167063,6.07313223046713e-20,3.54628180258137e-18,34.6005133814795
"SLC35A1|P78382",0.909119189599455,215473.148082192,10.662266697304,6.0784541609615e-20,3.54628180258137e-18,34.5872933418987
"FAM50B|Q9Y247",0.800675723276742,275195.6453125,13.1936253056553,9.98816514254774e-20,5.59875825514869e-18,34.5860939675791
